"flatId","builder","builderId","url","address","plz","title","imgurl","addedDate","lastRefresh","rooms","size","rent","funds","purchase_price","deposit","moveInDate","floor","constructionYear","placeLat","placeLong","type","status","typeDescription","prebookingStartString","prebookingStartDate","setToPrebookingFullyBookedDate","setToOfflineDate","setToIrrelevantDate","notes","addedDate2","lastRefresh2","isIrrelevant","isOffline","skipWhileCrawling"
"ahwohnen_1100_zohmanngasse38_stiege2erdgeschosstue57immo44","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=44","Zohmanngasse 38/Stiege 2/Erdgeschoss/Tür 3","1100",NULL,NULL,"1644921033777","1646040268969",1,34.3,240,2600,NULL,NULL,"sofort",NULL,NULL,"48.16712039999999","16.3625707",NULL,NULL,NULL,NULL,NULL,NULL,"1646083543245",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1110_roschegasse20_stiege23stocktuer957immo40","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=40","Roschegasse 20/Stiege 2/3.Stock/Tür 9","1110",NULL,NULL,"1645085488993","1645434449876",3,93,880,3300,NULL,NULL,"sofort",NULL,NULL,"48.1524492","16.4546711",NULL,NULL,NULL,NULL,NULL,NULL,"1645477714485",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1110_roschegasse20_stiege54stocktuer957immo43","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=43","Roschegasse 20/Stiege 5/4.Stock/Tür 9","1110",NULL,"http://www.ah-wohnen.at/immo_pictures/159.jpg","1644938029134","1645007853181",3,71,720,7300,NULL,NULL,"01. 09. 2020",NULL,NULL,"48.1524492","16.4546711",NULL,NULL,NULL,NULL,NULL,NULL,"1645051204779",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1110_roschegasse20_stiege93stocktuer957immo40","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=40","Roschegasse 20/Stiege 9/3.Stock/Tür 9","1110",NULL,NULL,"1645008100055","1645085246138",3,93,880,3300,NULL,NULL,"sofort",NULL,NULL,"48.1524492","16.4546711",NULL,NULL,NULL,NULL,NULL,NULL,"1645128499703",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1120_hetzendorferstrasse159_erdgeschosstu57immo31","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=31","Hetzendorfer Straße 159/Erdgeschoss/Tür 3","1120",NULL,"http://www.ah-wohnen.at/immo_pictures/638.jpg","1645705173701","1648024160928",2,59,470,2800,NULL,NULL,"sofort",NULL,NULL,"48.1702721","16.2978268",NULL,NULL,NULL,NULL,NULL,NULL,"1648027992427",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1130_fehlingergasse40_1stocktuer257immo41","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=41","Fehlingergasse 40/1.Stock/Tür 2","1130",NULL,"http://www.ah-wohnen.at/immo_pictures/171.jpg","1644319053990","1646922851434",2,69,670,14300,NULL,NULL,"sofort",NULL,NULL,"48.1681756","16.2852239",NULL,NULL,NULL,NULL,NULL,NULL,"1646978620941",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1130_fehlingergasse40_2stock757immo41","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=41","Fehlingergasse 40/2.Stock/7","1130",NULL,"http://www.ah-wohnen.at/immo_pictures/171.jpg","1641841762534","1644318684625",3,71.3,710,14700,NULL,NULL,"sofort",NULL,NULL,"48.1681756","16.2852239",NULL,NULL,NULL,NULL,NULL,NULL,"1644362068536",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1130_fehlingergasse40_3stocktuer757immo50","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=50","Fehlingergasse 40/3.Stock/Tür 7","1130",NULL,"http://www.ah-wohnen.at/immo_pictures/611.jpg","1644318798793","1648501044479",3,71.2,690,14600,NULL,NULL,"sofort",NULL,NULL,"48.1681756","16.2852239",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL
"ahwohnen_1140_hadersdorfhauptstrasse91_eg657immo25","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=25","Hadersdorf, Hauptstraße 91/EG/6","1140",NULL,"http://www.ah-wohnen.at/immo_pictures/599.jpg","1644315211270","1646998417620",2,68,540,5410,NULL,NULL,"sofort",NULL,NULL,"48.2093742","16.2149836",NULL,NULL,NULL,NULL,NULL,NULL,"1647041745755",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1210_hartwigbalzengasse5_stiege2tuer157immo51","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=51","Hartwig-Balzen-Gasse 5/Stiege 2/Tür 1","1210",NULL,"http://www.ah-wohnen.at/immo_pictures/289.jpg","1643184674057","1643789258278",2,52.02,430,20000,NULL,NULL,"sofort",NULL,NULL,"48.2828582","16.4427066",NULL,NULL,NULL,NULL,NULL,NULL,"1643832576154",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1220_amostrompark11_stiege1tuer3157immo35","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=35","Am Ostrom Park 11/Stiege 1/Tür 31","1220",NULL,"http://www.ah-wohnen.at/immo_pictures/487.jpg","1643102002830","1645609957803",2,52.81,370,25000,NULL,NULL,"sofort",NULL,NULL,"48.2301999","16.5093963",NULL,NULL,NULL,NULL,NULL,NULL,"1645653320854",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1220_amostrompark11_stiege1tuer3957immo54","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=54","Am Ostrom Park 11/Stiege 1/Tür 39","1220",NULL,"http://www.ah-wohnen.at/immo_pictures/595.jpg","1641841763031","1643814917228",2,52.2,365,25100,NULL,NULL,"sofort",NULL,NULL,"48.2301999","16.5093963",NULL,NULL,NULL,NULL,NULL,NULL,"1643868095520",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1220_ilsebuckstrasse20_stiege12stocktuer457immo56","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=56","Ilse-Buck-Straße 20/Stiege 1/2.Stock/Tür 41","1220",NULL,"http://www.ah-wohnen.at/immo_pictures/488.jpg","1641841762941","1643789258479",3,59.11,494.7,34204.17,NULL,NULL,"sofort",NULL,NULL,"48.23035660000001","16.5088763",NULL,NULL,NULL,NULL,NULL,NULL,"1643832576165",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1220_ilsebuckstrasse20_stiege21stocktuer257immo18","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=18","Ilse-Buck-Straße 20/Stiege 2/1.Stock/Tür 2","1220",NULL,"http://www.ah-wohnen.at/immo_pictures/598.jpg","1643103199865","1644913416923",3,60,510,35500,NULL,NULL,"sofort",NULL,NULL,"48.23035660000001","16.5088763",NULL,NULL,NULL,NULL,NULL,NULL,"1644956640687",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1220_ilsebuckstrasse20_stiege22stocktuer157immo55","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=55","Ilse-Buck-Straße 20/Stiege 2/2.Stock/Tür 14","1220",NULL,"http://www.ah-wohnen.at/immo_pictures/594.jpg","1643103797423","1646922564698",1,30,260,17100,NULL,NULL,"sofort",NULL,NULL,"48.23035660000001","16.5088763",NULL,NULL,NULL,NULL,NULL,NULL,"1646978620950",NULL,NULL,NULL,NULL,NULL,True,NULL
"ahwohnen_1220_ilsebuckstrasse20_stiege23stocktuer257immo53","AhWohnen","ahwohnen","http://www.ah-wohnen.at/cms/immo_page/57?immo=53","Ilse-Buck-Straße 20/Stiege 2/3.Stock/Tür 21","1220",NULL,"http://www.ah-wohnen.at/immo_pictures/596.jpg","1643104034190","1646922851898",1,30,260,17400,NULL,NULL,"sofort",NULL,NULL,"48.23035660000001","16.5088763",NULL,NULL,NULL,NULL,NULL,NULL,"1646978620964",NULL,NULL,NULL,NULL,NULL,True,NULL
